created_at,full_text,hashtags,user_mentions
tue jun 02 15:35:46 +0000 2020, houston politiechef namens de politiechefs tegen trump als je niks constructiefs te zeggen hebt hou dan je…,"houston,politiechef,trump",
tue jun 02 15:35:46 +0000 2020, rt noticias video panamericananoticias 24horas anonymous involucra al presidente trump en red de explotación sexual de menores…,"panamericananoticias,24horas,anonymous,trump",ptv_noticias
tue jun 02 15:35:46 +0000 2020, what presidenttrump amp nazis germany ww2 similar fom…,"presidenttrump,nazis,germany,ww2","eugenegu,realdonaldtrump"
tue jun 02 15:35:47 +0000 2020, rt nigerian police you're joker 😂😂😂😂😂😂😂😂😂 trump anomymous seattleprotests icantbreath,"trump,anomymous,seattleprotests,icantbreath",onyiforlife
tue jun 02 15:35:47 +0000 2020, rt trump der kriminelle bachmann und w rechtsradikale jubelten über die sperrung des offiziellen antifa usa account alle…,"trump,kriminelle,bachmann",godcoder
tue jun 02 15:35:47 +0000 2020, pearljam blacklivesmatter trump,"pearljam,blacklivesmatter,trump",
tue jun 02 15:35:47 +0000 2020, rt trump i mobilize available federal resources civilian military stop rioting looting …,trump,presstv
tue jun 02 15:35:47 +0000 2020, wow powerful videos lincolnproject trump america really needs said as…,"lincolnproject,trump,america",meidastouch
tue jun 02 15:35:48 +0000 2020, when story's finally told amp world finds russia owned blackmailing trump many ye…,"russia,trump",
tue jun 02 15:35:48 +0000 2020, rt dopeydon tuesday reality check causing great divide america trump threatens gov’s s…,"dopeydon,trump","cupofjoeinthed2,latimessports,dreknott"
tue jun 02 15:35:48 +0000 2020, rt told y’all racism is not born it’s taught 😓😓 just imagine!! georgefloyd wizkid trump blacklivesmatter abuja akure…,"georgefloyd,wizkid,trump,blacklivesmatter",realgeecode
tue jun 02 15:35:48 +0000 2020, rt told y’all racism is not born it’s taught 😓😓 just imagine!! georgefloyd wizkid trump blacklivesmatter abuja akure…,"georgefloyd,wizkid,trump,blacklivesmatter",realgeecode
tue jun 02 15:35:49 +0000 2020, rt the riots setup trump could bring martiallaw u think they’re safety pha…,"riots,trump,martiallaw",dragonsoul9fire
tue jun 02 15:35:50 +0000 2020, rt a trump le están dando un golpe de estado trump está respondiendo como cualquier líder respònsable que protege su pue…,trump,omarbula
tue jun 02 15:35:50 +0000 2020, rt non riesco capire perché la protesta per la morte di georgeflyod sia indirizzata verso trump il minnesota è uno…,"georgeflyod,trump,minnesota",giuseppepalma78
tue jun 02 15:35:51 +0000 2020, rt donald trump est raciste c’est un homme qui joue sur tous les ressorts racistes pour être élu et réélu l'analyse de n…,trump,cdanslair
tue jun 02 15:35:52 +0000 2020, rt sniper secret service secretservice sniper trump police riots washington,"secretservice,sniper,trump,police,riots,washington",jmscaronte
tue jun 02 15:35:52 +0000 2020, rt 13 great investigative work kashoggi trump epstein maxwell thx edward from…,"kashoggi,trump,epstein,maxwell","snipper_13,therealholli,realedwardszall"
tue jun 02 15:35:53 +0000 2020, mike valerio interview trump biblephotoop bible christians…,"trump,biblephotoop,bible,christians",ginigerbasi
